SatVenus.ElapsedSecs,SatVenus.ElapsedDays,SatVenus.VenusMJ2000Eq.X,SatVenus.VenusMJ2000Eq.Y,SatVenus.VenusMJ2000Eq.Z,SatVenus.VenusMJ2000Eq.VX,SatVenus.VenusMJ2000Eq.VY,SatVenus.VenusMJ2000Eq.VZ,SatVenus.Venus.VelApoapsis,SatVenus.Venus.VelPeriapsis,SatVenus.Venus.RadPer,SatVenus.Venus.SMA,SatVenus.Venus.ECC,SatVenus.VenusMJ2000Eq.INC,SatVenus.VenusMJ2000Eq.RAAN,SatVenus.VenusMJ2000Eq.AOP,SatVenus.Venus.OrbitPeriod,SatVenus.Venus.TA
121718.0612,1.408773857,1090.824062,-7055.924223,5208.028661,0.669672351,-4.331709878,-4.588463489,4.89548396,6.792572152,8183.664457,9769.323132,0.162309983,89.99997527,98.78819599,81.94357957,10644.60124,61.94784611
121981.299,1.41182059,1248.885214,-8078.326689,3923.881769,0.529880172,-3.42747353,-5.135534086,4.895483373,6.792572078,8183.665008,9769.324407,0.162310036,89.99997513,98.78819607,81.9436177,10644.60333,72.4141185
122255.1279,1.414989907,1373.421763,-8883.877367,2462.743861,0.379409104,-2.454162093,-5.503402617,4.895482686,6.792571993,8183.665652,9769.325902,0.162310099,89.99997493,98.78819614,81.94366239,10644.60577,82.73547551
122540.4361,1.418292084,1459.367699,-9439.807266,861.7720732,0.223720933,-1.447104733,-5.687452546,4.895481962,6.79257192,8183.666296,9769.327449,0.162310165,89.99997466,98.78819619,81.94370998,10644.6083,92.90104986
122838.2209,1.421738668,1502.553093,-9719.143628,-836.6866097,0.067805526,-0.438578005,-5.69005749,4.895481251,6.792571921,8183.666792,9769.328867,0.162310236,89.99997433,98.78819619,81.94375589,10644.61062,102.9190182
123149.2739,1.425338818,1499.726177,-9700.852781,-2584.111821,-0.083810966,0.542141051,-5.518544004,4.895480579,6.792572088,8183.666945,9769.329969,0.162310315,89.99997394,98.78819612,81.94379546,10644.61242,112.804838
123474.0712,1.429098046,1448.794429,-9371.399558,-4326.034883,-0.227090872,1.4689351,-5.183950611,4.895479945,6.792572534,8183.666539,9769.330592,0.16231041,89.99997352,98.78819597,81.94382498,10644.61343,122.578718
123812.6802,1.433017133,1349.123895,-8726.683436,-6002.892281,-0.358472972,2.3187687,-4.700092254,4.89547933,6.792573369,8183.66538,9769.330619,0.162310531,89.99997309,98.78819572,81.94384266,10644.61348,132.2641033
124164.6767,1.437091166,1201.85389,-7774.074166,-7551.675294,-0.474839286,3.071473465,-4.082899376,4.895478705,6.792574666,8183.663348,9769.330002,0.162310686,89.99997268,98.7881954,81.94384913,10644.61247,141.886651
124529.0866,1.441308873,1010.173075,-6534.197542,-8908.49936,-0.573475837,3.709494287,-3.349990583,4.895478045,6.792576429,8183.66045,9769.328782,0.162310878,89.99997233,98.788195,81.94384723,10644.61048,151.4736237
